hub,in_degree,in_volume,out_degree,out_volume,hub_delay_ratio,hub_breach_rate,betweenness,pagerank,clustering
IND424101AAA,1.0,8.0,1.0,1.0,2.05,1.0,3.648729512383788e-06,0.00028605416183436795,0.0
IND424201AAA,1.0,1.0,1.0,1.0,5.675,1.0,0.0008191397755301604,0.0003128824029068738,0.0
IND424304AAC,3.0,10.0,2.0,11.0,2.1025641025641026,1.0,0.0,0.00036407787821310855,1.0
IND425109AAA,1.0,1.0,1.0,1.0,1.475,1.0,0.000412306434899368,0.00023204610641370144,0.0
IND425201AAA,1.0,9.0,1.0,9.0,2.3714285714285714,1.0,8.392077878482712e-06,0.0007033942650869691,1.0
IND425401AAA,1.0,1.0,1.0,1.0,1.6857142857142857,1.0,5.473094268575682e-06,0.00013694458112761766,0.0
IND425405AAA,2.0,7.0,2.0,15.0,10.0,1.0,0.0004090225783382226,0.00045097757756953953,0.6666666666666666
IND425406AAA,2.0,11.0,3.0,7.0,2.2296703296703297,1.0,7.297459024767576e-07,0.0005588270040234997,0.6666666666666666
IND425409AAA,3.0,12.0,4.0,12.0,2.2940613026819925,1.0,3.283856561145409e-06,0.0005790985387780555,0.6
IND425412AAA,4.0,15.0,4.0,14.0,2.066666666666667,1.0,4.378475414860545e-06,0.0006094815431538437,0.6666666666666666
IND425508AAB,2.0,11.0,1.0,16.0,2.7333333333333334,1.0,4.7433483660989244e-06,0.0008441396828081365,0.6666666666666666
IND431001AAA,1.0,20.0,0.0,0.0,2.7222222222222223,1.0,0.0,0.00046425015657011645,0.0
IND431001AAB,0.0,0.0,1.0,18.0,3.0454545454545454,1.0,0.0,0.00011564321245522476,0.0
IND431103AAA,1.0,1.0,0.0,0.0,1.7727272727272727,1.0,0.0,0.0003587892500144428,0.0
IND431107AAB,1.0,7.0,1.0,6.0,1.7346938775510203,1.0,0.0012084592145015106,0.0004648512596897108,0.0
IND431112AAB,2.0,11.0,1.0,11.0,2.4974916387959865,1.0,0.00040318461111840854,0.000400184940877803,1.0
IND431122AAA,1.0,9.0,1.0,7.0,2.2145833333333336,1.0,0.0012150269276238015,0.00027251633730692603,0.0
IND431127AAA,1.0,7.0,1.0,7.0,2.1553571428571425,1.0,0.001212837689916371,0.0003472820991661219,0.0
IND431131AAB,0.0,0.0,1.0,1.0,6.946153846153846,1.0,0.0,0.00011564321245522476,0.0
IND431136AAC,5.0,49.0,5.0,58.0,2.342857142857143,1.0,0.00564239531795029,0.001189364868156623,0.047619047619047616
IND431203AAA,1.0,15.0,2.0,12.0,2.0869565217391304,1.0,0.0004053738488258388,0.0003770984205413935,1.0
IND431401AAA,1.0,1.0,0.0,0.0,4.333333333333333,1.0,0.0,0.00014888159054518308,0.0
IND431514AAA,1.0,16.0,1.0,16.0,2.0701970443349755,1.0,0.003215990192215071,0.0006377292636891677,0.0
IND431515AAA,1.0,16.0,1.0,14.0,2.5791666666666666,1.0,0.0032138009545076406,0.0006577130865910517,0.0
IND431517AAB,1.0,14.0,1.0,12.0,2.5852272727272725,1.0,0.00321161171680021,0.0006746993360576546,0.0
IND431603AAA,4.0,19.0,4.0,21.0,2.16934046345811,1.0,0.004842593808835763,0.0008211834586930359,0.09523809523809523
IND431708AAA,1.0,15.0,1.0,16.0,2.0689655172413794,1.0,0.003218179429922501,0.0006142188838045997,0.0
IND431717AAA,1.0,2.0,1.0,2.0,3.069736842105263,1.0,0.0,0.00031975020288342907,1.0
IND440014AAA,1.0,1.0,0.0,0.0,2.4242424242424243,1.0,0.0,0.00021393994304216697,0.0
IND441107AAB,1.0,11.0,0.0,0.0,2.8142857142857145,1.0,0.0,0.0002974921640410689,0.0
IND441206AAB,0.0,0.0,2.0,8.0,2.8376068376068377,1.0,0.0,0.00011564321245522476,1.0
IND441603AAA,2.0,4.0,1.0,1.0,2.090909090909091,1.0,0.0,0.0010786855053745636,1.0
IND441614AAA,0.0,0.0,1.0,9.0,2.2962962962962963,1.0,0.0,0.00011564321245522476,0.0
IND441904AAB,0.0,0.0,1.0,12.0,1.8174603174603174,1.0,0.0,0.00011564321245522476,0.0
IND441912AAA,1.0,12.0,1.0,11.0,2.5357142857142856,1.0,3.648729512383788e-07,0.000213939943042167,0.0
IND442001AAA,0.0,0.0,1.0,5.0,3.7142857142857144,1.0,0.0,0.00011564321245522476,0.0
IND442101AAB,1.0,5.0,1.0,12.0,2.357142857142857,1.0,3.648729512383788e-07,0.00021393994304216697,0.0
IND442605AAA,2.0,8.0,1.0,3.0,2.409090909090909,1.0,3.648729512383788e-07,0.0011185355312686774,1.0
IND443201AAA,1.0,2.0,1.0,1.0,2.78125,1.0,0.00040318461111840854,0.00033208690251645533,0.0
