source_center,destination_center,volume,unique_trips,median_delay_ratio,breach_rate,median_actual_minutes,median_osrm_minutes,median_distance_km,excess_minutes,median_dwell_proxy,path_cost,x0,y0,x1,y1,is_chronic_delay
IND395023AAA,IND411033AAA,11,11,2.3525835866261398,1.0,780.0,329.0,414.1674,5350.0,164.0,0.30151134457776363,-0.062195653663667985,-0.1503931292420083,-0.2247129255595074,-0.11564232576112854,True
IND395023AAA,IND421302AAG,3,3,2.375,1.0,494.0,208.0,271.9659,844.0,167.0,0.5773502691896258,-0.062195653663667985,-0.1503931292420083,-0.09652734779696122,-0.25429256805432443,True
IND395023AAA,IND562132AAA,20,20,1.7142865941601269,1.0,1679.0,965.0,1252.96745,14061.0,175.5,0.22360679774997896,-0.062195653663667985,-0.1503931292420083,-0.0394965708592197,-0.06958317239877138,True
IND400011AAA,IND400072AAB,12,12,2.2666666666666666,1.0,34.0,15.0,16.3912,266.0,37.5,0.2886751345948129,-0.40079327586457647,-0.5286674655525154,-0.2750750266729604,-0.3585414762504734,True
IND400011AAA,IND400072AAD,53,53,2.7222222222222223,0.9811320754716981,48.0,18.0,19.723,1754.0,40.0,0.13736056394868904,-0.40079327586457647,-0.5286674655525154,-0.24707945897041023,-0.5501422958520676,True
IND400015AAA,IND400072AAB,36,36,2.7279411764705883,1.0,48.0,17.0,17.82595,1568.0,81.0,0.16666666666666666,-0.20005866856575566,-0.37147116012343695,-0.2750750266729604,-0.3585414762504734,True
IND400015AAA,IND421302AAG,1,1,3.7586206896551726,1.0,109.0,29.0,40.5513,80.0,60.0,1.0,-0.20005866856575566,-0.37147116012343695,-0.09652734779696122,-0.25429256805432443,True
IND400015AAB,IND400072AAB,6,6,4.1,1.0,76.5,18.0,22.0432,307.0,54.0,0.4082482904638631,-0.2850840845132919,-0.28838369312169887,-0.2750750266729604,-0.3585414762504734,True
IND400015AAB,IND421302AAG,23,23,3.2857142857142856,1.0,92.0,31.0,43.0666,1935.0,100.0,0.20851441405707477,-0.2850840845132919,-0.28838369312169887,-0.09652734779696122,-0.25429256805432443,True
IND400072AAB,IND000000AFT,67,67,2.5555555555555554,1.0,48.0,19.0,22.4665,2415.0,46.0,0.12216944435630522,-0.2750750266729604,-0.3585414762504734,-0.2313823158086919,-0.31132437013230113,True
IND400072AAB,IND400011AAA,2,2,3.7058823529411766,1.0,63.0,17.0,21.7556,92.0,59.0,0.7071067811865475,-0.2750750266729604,-0.3585414762504734,-0.40079327586457647,-0.5286674655525154,True
IND400072AAB,IND400015AAA,60,60,3.176470588235294,1.0,53.5,17.0,19.986600000000003,2638.0,60.0,0.12909944487358055,-0.2750750266729604,-0.3585414762504734,-0.20005866856575566,-0.37147116012343695,True
IND400072AAB,IND400015AAB,1,1,2.9411764705882355,1.0,50.0,17.0,21.6253,33.0,78.0,1.0,-0.2750750266729604,-0.3585414762504734,-0.2850840845132919,-0.28838369312169887,True
IND400072AAB,IND400701AAB,3,3,2.5,1.0,46.0,19.0,22.205,95.0,44.0,0.5773502691896258,-0.2750750266729604,-0.3585414762504734,-0.1668471463841536,-0.42622595049018025,True
IND400072AAB,IND401104AAA,72,72,3.033333333333333,1.0,48.0,16.0,20.7678,2474.0,43.5,0.11785113019775793,-0.2750750266729604,-0.3585414762504734,-0.306909119605879,-0.5135367208650766,True
IND400072AAB,IND401104AAB,1,1,3.7142857142857144,1.0,52.0,14.0,19.5201,38.0,55.0,1.0,-0.2750750266729604,-0.3585414762504734,-0.2328894659766596,-0.4182837208860621,True
IND400072AAB,IND411033AAA,8,8,1.7142428785607196,1.0,198.5,115.5,135.9055,764.0,58.0,0.35355339059327373,-0.2750750266729604,-0.3585414762504734,-0.2247129255595074,-0.11564232576112854,True
IND400072AAB,IND421302AAG,63,63,3.0869565217391304,1.0,66.0,22.0,28.077399999999997,4365.0,108.0,0.1259881576697424,-0.2750750266729604,-0.3585414762504734,-0.09652734779696122,-0.25429256805432443,True
IND400072AAD,IND421302AAG,99,99,2.608695652173913,1.0,54.0,21.0,26.2466,5601.0,120.0,0.10050378152592121,-0.24707945897041023,-0.5501422958520676,-0.09652734779696122,-0.25429256805432443,True
IND400102AAB,IND421302AAG,20,20,2.1153846153846154,1.0,59.5,29.0,33.3096,1642.0,92.0,0.22360679774997896,-0.11785098736446663,-0.4775182046232553,-0.09652734779696122,-0.25429256805432443,True
IND400102AAC,IND421302AAG,28,28,3.0343915343915344,1.0,93.5,28.5,33.02295,2995.0,88.5,0.1889822365046136,-0.06319932756641566,-0.41922512330209616,-0.09652734779696122,-0.25429256805432443,True
IND400701AAB,IND421302AAG,26,26,2.605263157894737,1.0,49.5,21.0,22.9427,1135.0,133.0,0.19611613513818404,-0.1668471463841536,-0.42622595049018025,-0.09652734779696122,-0.25429256805432443,True
IND401104AAA,IND400072AAB,31,31,3.0625,1.0,46.0,16.0,20.272599999999997,1751.0,64.0,0.1796053020267749,-0.306909119605879,-0.5135367208650766,-0.2750750266729604,-0.3585414762504734,True
IND401104AAA,IND401208AAA,37,37,2.5555555555555554,1.0,46.0,17.0,23.518300000000004,1099.0,63.0,0.1643989873053573,-0.306909119605879,-0.5135367208650766,-0.4795506441534461,-0.7548235571963016,True
IND401104AAA,IND401209AAA,1,1,2.761904761904762,1.0,58.0,21.0,25.3485,37.0,77.0,1.0,-0.306909119605879,-0.5135367208650766,-0.40870695398709417,-0.6896052207685955,True
IND401104AAA,IND421302AAG,14,14,2.4823717948717947,1.0,59.0,24.0,28.06475,704.0,96.5,0.2672612419124244,-0.306909119605879,-0.5135367208650766,-0.09652734779696122,-0.25429256805432443,True
IND401104AAB,IND400072AAB,5,5,2.2666666666666666,1.0,34.0,15.0,20.0807,214.0,39.0,0.4472135954999579,-0.2328894659766596,-0.4182837208860621,-0.2750750266729604,-0.3585414762504734,True
IND401104AAB,IND421302AAG,23,23,2.8461538461538463,1.0,71.0,25.0,28.4979,1855.0,136.0,0.20851441405707477,-0.2328894659766596,-0.4182837208860621,-0.09652734779696122,-0.25429256805432443,True
IND401209AAA,IND401104AAA,23,23,6.2727272727272725,1.0,142.0,21.0,28.8923,2457.0,28.0,0.20851441405707477,-0.40870695398709417,-0.6896052207685955,-0.306909119605879,-0.5135367208650766,True
IND403726AAA,IND411033AAA,14,14,1.7982693407221708,1.0,757.0,414.5,515.5548,5127.0,92.5,0.2672612419124244,-0.4289578273808281,-0.1451314033997445,-0.2247129255595074,-0.11564232576112854,True
