source_center,destination_center,volume,unique_trips,median_delay_ratio,breach_rate,median_actual_minutes,median_osrm_minutes,median_distance_km,excess_minutes,median_dwell_proxy,path_cost,breached_legs,breached_trips,sla_breach_contribution_pct,is_chronic_delay,source_name,destination_name,corridor,corridor_score
IND560300AAA,IND560099AAB,86,86,1.9712215320910973,0.8604651162790697,136.0,70.0,72.47649999999999,5858.0,59.0,0.10783277320343841,74,74,0.22348167511303793,True,Bengaluru_KGAirprt_HB (Karnataka),Bengaluru_Bomsndra_HB (Karnataka),IND560300AAA → IND560099AAB,0.30551655457822424
IND847404AAB,IND842001AAA,18,18,8.232800982800983,1.0,633.0,76.0,108.03855,10070.0,55.0,0.23570226039551587,18,18,0.38416873820216657,True,Jhanjharpur_Nagar_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),IND847404AAB → IND842001AAA,0.3018208877010952
IND712311AAA,IND781018AAB,8,8,2.889958210331417,1.0,2184.5,733.5,1033.5122499999998,12306.0,531.5,0.35355339059327373,8,8,0.4694717470025683,True,Kolkata_Dankuni_HB (West Bengal),Guwahati_Hub (Assam),IND712311AAA → IND781018AAB,0.3017945446908401
IND175015AAA,IND174001AAA,13,13,7.1231884057971016,1.0,966.0,138.0,117.8793,10832.0,42.0,0.2773500981126146,13,13,0.4132389048863822,True,JognderNgr_Dhelu_D (Himachal Pradesh),BilaspurHP_Indsarea_D (Himachal Pradesh),IND175015AAA → IND174001AAA,0.3011438453073416
IND421302AAG,IND400102AAC,62,62,2.6566666666666667,0.9838709677419355,77.5,28.0,33.0236,4222.0,120.0,0.1270001270001905,61,61,0.1610685613395777,True,Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_Jogshwri_I (Maharashtra),IND421302AAG → IND400102AAC,0.29958807046986424
IND400072AAB,IND400015AAA,60,60,3.176470588235294,1.0,53.5,17.0,19.986600000000003,2638.0,60.0,0.12909944487358055,60,60,0.10063923846845238,True,Mumbai Hub (Maharashtra),Mumbai_CottonGreen_DPC (Maharashtra),IND400072AAB → IND400015AAA,0.2994024000419221
IND000000ACA,IND160002AAC,71,71,2.1159420289855073,1.0,131.0,61.0,88.8839,5097.0,107.0,0.11867816581938533,71,71,0.19444965825386726,True,Ludhiana_MilrGanj_HB (Punjab),Chandigarh_Mehmdpur_H (Punjab),IND000000ACA → IND160002AAC,0.2991024362838232
IND560099AAB,IND562132AAA,102,102,1.5779352226720649,0.8627450980392157,84.5,54.5,52.99135,4195.0,147.0,0.09901475429766744,88,88,0.16003851606336533,True,Bengaluru_Bomsndra_HB (Karnataka),Bangalore_Nelmngla_H (Karnataka),IND560099AAB → IND562132AAA,0.2987492455518113
IND560300AAA,IND562132AAA,108,108,1.5113801452784503,0.7407407407407407,91.0,66.0,52.1894,4532.0,68.5,0.09622504486493763,80,80,0.17289500710349742,True,Bengaluru_KGAirprt_HB (Karnataka),Bangalore_Nelmngla_H (Karnataka),IND560300AAA → IND562132AAA,0.2946158863865173
IND400072AAB,IND000000AFT,67,67,2.5555555555555554,1.0,48.0,19.0,22.4665,2415.0,46.0,0.12216944435630522,67,67,0.09213182748343916,True,Mumbai Hub (Maharashtra),Mumbai_Sanpada_I (Maharashtra),IND400072AAB → IND000000AFT,0.28974148501916314
IND562132AAA,IND302014AAA,14,14,1.705335482163473,1.0,2636.0,1541.5,2009.2582000000002,15477.0,411.5,0.2672612419124244,14,14,0.5904448422199535,True,Bangalore_Nelmngla_H (Karnataka),Jaipur_Hub (Rajasthan),IND562132AAA → IND302014AAA,0.28876467885641355
IND845305AAA,IND842001AAA,20,20,4.21959872767311,1.0,560.5,123.0,177.0716,7888.0,79.5,0.22360679774997896,20,20,0.30092581995418966,True,Raxaul_KairiyaT_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),IND845305AAA → IND842001AAA,0.2873361630770843
IND847223AAA,IND842001AAA,15,15,9.953846153846154,1.0,659.0,65.0,85.9415,8601.0,46.0,0.2581988897471611,15,15,0.32812664521120505,True,Benipatti_WardNo1_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),IND847223AAA → IND842001AAA,0.2862739611172248
IND395023AAA,IND562132AAA,20,20,1.7142865941601269,1.0,1679.0,965.0,1252.96745,14061.0,175.5,0.22360679774997896,20,20,0.5364246899563718,True,Surat_HUB (Gujarat),Bangalore_Nelmngla_H (Karnataka),IND395023AAA → IND562132AAA,0.2859815948495455
IND152026AAA,IND000000ACA,19,19,4.0,1.0,548.0,138.0,183.2283,7782.0,75.0,0.22941573387056174,19,19,0.29688193849943006,True,Muktsar_DPC (Punjab),Ludhiana_MilrGanj_HB (Punjab),IND152026AAA → IND000000ACA,0.2851696274170728
IND110064AAA,IND000000ACB,39,39,2.0,0.8205128205128205,108.0,53.0,58.225899999999996,11452.0,30.0,0.16012815380508713,32,32,0.43689179641422166,True,Delhi_Mayapuri_PC (Delhi),Gurgaon_Bilaspur_HB (Haryana),IND110064AAA → IND000000ACB,0.28394213814815106
