source_center,destination_center,route_type,time_bucket,edge_observations,unique_trips,median_delay_ratio,median_actual_minutes,median_osrm_minutes,breach_rate,excess_minutes,fallback_delay_ratio,delay_ratio_weight
IND302004AAA,IND302014AAB,Carting,night,8,8,2.758928571428571,41.5,15.5,1.0,323.0,2.125,2.306122448979592
IND302004AAA,IND302033AAB,Carting,night,1,1,2.9,29.0,10.0,1.0,19.0,2.125,2.1619047619047618
IND302006AAA,IND302014AAB,Carting,night,13,13,3.3333333333333335,54.0,12.0,1.0,472.0,2.125,2.601010101010101
IND302006AAC,IND302014AAB,Carting,night,1,1,3.5,63.0,18.0,1.0,45.0,2.125,2.1904761904761907
IND302014AAA,IND000000ACB,FTL,afternoon,8,8,1.637362282317211,302.5,180.0,1.0,958.0,1.7676767676767677,1.7304440575740372
IND302014AAA,IND000000ACB,FTL,evening,2,2,1.7743955497544905,317.0,179.5,1.0,275.0,1.7703025992499675,1.7706746856594697
IND302014AAA,IND000000ACB,FTL,late_evening,2,2,1.5175438596491229,293.5,196.5,1.0,194.0,1.8333333333333333,1.8046251993620415
IND302014AAA,IND000000ACB,FTL,night,11,11,1.7624309392265194,327.0,181.0,1.0,1372.0,1.8226866738120757,1.801305606701072
IND302014AAA,IND110037AAM,FTL,late_evening,3,3,1.4864864864864864,356.0,231.0,1.0,364.0,1.8333333333333333,1.7880924402663532
IND302014AAA,IND110037AAM,FTL,morning,1,1,2.382775119617225,498.0,209.0,1.0,289.0,1.8750586854460094,1.8992356585017816
IND302014AAA,IND110037AAM,FTL,night,10,10,1.563856486390951,348.0,234.0,1.0,1240.0,1.8226866738120757,1.7364099446717007
IND302014AAA,IND301001AAB,FTL,afternoon,21,21,1.6131386861313868,221.0,139.0,1.0,1665.0,1.7676767676767677,1.688523116153524
IND302014AAA,IND303702AAB,FTL,afternoon,9,9,2.2222222222222223,84.0,38.0,1.0,490.0,1.7676767676767677,1.9087425983977708
IND302014AAA,IND305001AAC,FTL,morning,14,14,2.1904761904761907,269.5,124.0,1.0,2069.0,1.8750586854460094,2.004936481634908
IND302014AAA,IND306401AAB,FTL,morning,2,2,2.193711551606288,495.0,227.0,1.0,536.0,1.8750586854460094,1.9040271278242167
IND302014AAA,IND313001AAB,FTL,evening,12,12,1.8848345058240112,547.0,281.5,1.0,3236.0,1.7703025992499675,1.8132520642152339
IND302014AAA,IND332404AAA,FTL,afternoon,1,1,2.2580645161290325,140.0,62.0,1.0,78.0,1.7676767676767677,1.7910285652221138
IND302014AAB,IND302004AAA,Carting,late_evening,4,4,1.7427536231884058,40.5,23.5,0.5,98.0,1.8148148148148149,1.8028046162104134
IND302014AAB,IND302004AAA,Carting,morning,16,16,2.2606951871657754,40.5,17.0,0.9375,355.0,2.2,2.2269756387403445
IND302014AAB,IND302004AAA,Carting,night,6,6,1.3541666666666665,27.5,16.5,0.8333333333333334,105.0,2.125,1.9471153846153846
IND302014AAB,IND302006AAA,Carting,morning,15,15,1.6875,31.0,18.0,0.8666666666666667,191.0,2.2,1.980357142857143
IND302014AAB,IND302006AAA,Carting,night,1,1,1.0740740740740742,29.0,27.0,0.0,2.0,2.125,2.0749559082892417
IND302014AAB,IND302006AAC,Carting,late_evening,1,1,6.352941176470588,108.0,17.0,1.0,91.0,1.8148148148148149,2.0309160701317563
IND302014AAB,IND302006AAC,Carting,morning,17,17,1.8,40.0,22.0,1.0,386.0,2.2,2.016216216216216
IND302014AAB,IND302006AAC,Carting,night,4,4,4.126315789473685,80.5,19.5,1.0,235.0,2.125,2.4585526315789474
IND302014AAB,IND302020AAA,Carting,morning,18,18,1.9230769230769231,24.0,13.0,1.0,294.0,2.2,2.068825910931174
IND302014AAB,IND302023AAA,Carting,late_evening,1,1,3.5714285714285716,75.0,21.0,1.0,54.0,1.8148148148148149,1.8984630889392793
IND302014AAB,IND302023AAA,Carting,morning,17,17,2.423076923076923,61.0,25.0,1.0,615.0,2.2,2.302494802494802
IND302014AAB,IND302023AAA,Carting,night,1,1,4.142857142857143,87.0,21.0,1.0,66.0,2.125,2.22108843537415
IND302014AAB,IND302026AAA,Carting,evening,1,1,4.7368421052631575,90.0,19.0,1.0,71.0,1.7540983606557377,1.8961337770656148
IND302014AAB,IND302026AAA,Carting,late_evening,6,6,4.5,81.0,18.5,1.0,377.0,1.8148148148148149,2.4344729344729346
